Unit_ID,Call_No,AGENCY,CALL_TYPE_FINAL,OrigUnit,UNIT_enroute_DATE,PRIORITY,DISPOSITION,PRIMARY_UNIT,BEAT,REP_DIST,CALL_CREATED_TIME,CALL_ENTRY_DATE,CALL_ENTRY_TIME,UNIT_DISPATCH_DATE,UNIT_DISPATCH_TIME,UNIT_ENROUTE_TIME,UNIT_ONSCENE_DATE,UNIT_ONSCENE_TIME,TS_UNIT_TURNOUT,Call#,Call_No2,ArrivalStatus,RptCategory,TurnoutCompliance,BattalionName,Unit Type
BC002,S100000001,PCFR,29D02P,BC002,2/9/26 0:00,D1,COM,MR020,33N,F33A,93314,2/9/26 0:00,93412,2/9/26 0:00,93554,93642,2/9/26 0:00,94110,48,S100000001,S100000001,AOS,EMS,Met,Battalion 2,Battalion Chief
BC006,S100000002,PCFR,71,BC006,2/9/26 0:00,PA,COM,EN004,4,F15G,91326,2/9/26 0:00,91410,2/9/26 0:00,91451,91509,2/9/26 0:00,93054,18,S100000002,S100000002,AOS,Fire,Met,Battalion 6,Battalion Chief
BR004,S100000003,PCFR,OOS,BR004,2/9/26 0:00,OS,,BR004,,,102506,2/9/26 0:00,102506,2/9/26 0:00,102506,102506,2/9/26 0:00,102506,0,S100000003,S100000003,AOS,Omit,,Battalion 6,Brush Truck
BR004,S100000004,PCFR,71,BR004,2/9/26 0:00,PA,COM,EN004,4,F15G,91326,2/9/26 0:00,91410,2/9/26 0:00,91631,91855,2/9/26 0:00,93803,144,S100000004,S100000004,AOS,Fire,Missed,Battalion 6,Brush Truck
BR007,S100000005,PCFR,OOS,BR007,2/9/26 0:00,OS,,BR007,,,105742,2/9/26 0:00,105742,2/9/26 0:00,105742,105742,2/9/26 0:00,105742,0,S100000005,S100000005,AOS,Omit,,Battalion 2,Brush Truck
BR012,S100000006,PCFR,OOS,BR012,2/9/26 0:00,OS,,BR012,,,103916,2/9/26 0:00,103916,2/9/26 0:00,103916,103916,2/9/26 0:00,103916,0,S100000006,S100000006,AOS,Omit,,Battalion 7,Brush Truck
BR015,S100000007,PCFR,71,BR015,2/9/26 0:00,PA,COM,EN004,4,F15G,91326,2/9/26 0:00,91410,2/9/26 0:00,91902,91902,2/9/26 0:00,94855,0,S100000007,S100000007,AOS,Fire,Met,Battalion 6,Brush Truck
BR021,S100000008,PCFR,82,BR021,2/9/26 0:00,PA,COM,SQ021,21,F930H,104949,2/9/26 0:00,105049,2/9/26 0:00,105130,105227,2/9/26 0:00,105550,57,S100000008,S100000008,AOS,Fire,Met,Battalion 7,Brush Truck
EN002,S100000009,PCFR,60B03O,EN002,2/9/26 0:00,B1,COM,EN002,2,F02A,90007,2/9/26 0:00,90029,2/9/26 0:00,90100,90139,2/9/26 0:00,91211,39,S100000009,S100000009,AOS,Fire,Met,Battalion 6,Engine
EN002,S100000010,PCFR,26A02,EN002,2/9/26 0:00,A1,,MR002,2,F02A,101236,2/9/26 0:00,101441,2/9/26 0:00,101513,101552,2/9/26 0:00,102815,39,S100000010,S100000010,AOS,EMS,Met,Battalion 6,Engine
EN002,S100000011,PCFR,26A05,EN002,2/9/26 0:00,A1,,MD202,2,F02F,105906,2/9/26 0:00,105940,2/9/26 0:00,110205,110213,2/9/26 0:00,111427,8,S100000011,S100000011,AOS,EMS,Met,Battalion 6,Engine
EN004,S100000012,PCFR,71,EN004,2/9/26 0:00,PA,COM,EN004,4,F15G,91326,2/9/26 0:00,91410,2/9/26 0:00,91451,91546,2/9/26 0:00,92719,55,S100000012,S100000012,AOS,Fire,Met,Battalion 6,Engine
EN005,S100000013,PCFR,68C01,EN005,2/9/26 0:00,C1,UTL,EN005,16,F560G,105656,2/9/26 0:00,105722,2/9/26 0:00,105941,110000,2/9/26 0:00,111004,19,S100000013,S100000013,AOS,Fire,Met,Battalion 4,Engine
EN005,S100000014,PCFR,17A04G,EN005,2/9/26 0:00,A1,COM,MR005,5,F05C,100734,2/9/26 0:00,100749,2/9/26 0:00,100816,100820,2/9/26 0:00,101648,4,S100000014,S100000014,AOS,EMS,Met,Battalion 4,Engine
EN006,S100000015,PCFR,26A08,EN006,2/9/26 0:00,A1,COM,MR006,6,F06A,81111,2/9/26 0:00,81239,2/9/26 0:00,81309,81329,2/9/26 0:00,82959,20,S100000015,S100000015,AOS,EMS,Met,Battalion 1,Engine
EN006,S100000016,PCFR,01C05,EN006,2/9/26 0:00,C1,,MR006,6,F06A,103952,2/9/26 0:00,104027,2/9/26 0:00,104057,104110,2/9/26 0:00,105143,13,S100000016,S100000016,AOS,EMS,Met,Battalion 1,Engine
EN006,S100000017,PCFR,53A02,EN006,2/9/26 0:00,A1,COM,EN006,6,F06A,110225,2/9/26 0:00,110301,2/9/26 0:00,110334,110339,2/9/26 0:00,111148,5,S100000017,S100000017,AOS,Other,N/A,Battalion 1,Engine
EN006,S100000018,PCFR,53A02,EN006,2/9/26 0:00,A1,COM,EN006,6,F06A,110225,2/9/26 0:00,110301,2/9/26 0:00,110334,110339,2/9/26 0:00,111148,5,S100000018,S100000018,AOS,Other,N/A,Battalion 1,Engine
EN010,S100000019,PCFR,21A01T,EN010,2/9/26 0:00,A1,COM,MR010,10,F10B,91435,2/9/26 0:00,91457,2/9/26 0:00,91536,91539,2/9/26 0:00,93419,3,S100000019,S100000019,AOS,EMS,Met,Battalion 6,Engine
EN012,S100000020,PCFR,26D01,EN012,2/9/26 0:00,D1,COM,MR012,12,F930E,90110,2/9/26 0:00,90149,2/9/26 0:00,90216,90351,2/9/26 0:00,90823,95,S100000020,S100000020,AOS,EMS,Missed,Battalion 7,Engine
EN017,S100000021,PCFR,26A08,EN017,2/9/26 0:00,A1,COM,MR017,17,F17C,80332,2/9/26 0:00,80408,2/9/26 0:00,80458,80516,2/9/26 0:00,81300,18,S100000021,S100000021,AOS,EMS,Met,Battalion 4,Engine
EN017,S100000022,PCFR,OOS,EN017,2/9/26 0:00,OS,,EN017,,,102047,2/9/26 0:00,102047,2/9/26 0:00,102047,102047,2/9/26 0:00,102047,0,S100000022,S100000022,AOS,Omit,,Battalion 4,Engine
EN028,S100000023,PCFR,17A04,EN028,2/9/26 0:00,A1,COM,MR028,28,F34G,90917,2/9/26 0:00,90942,2/9/26 0:00,91033,91108,2/9/26 0:00,91952,35,S100000023,S100000023,AOS,EMS,Met,Battalion 3,Engine
EN033,S100000024,PCFR,06D02O,EN033,2/9/26 0:00,D1,COM,MR033,33N,F33A,91727,2/9/26 0:00,91748,2/9/26 0:00,91823,91829,2/9/26 0:00,92634,6,S100000024,S100000024,AOS,EMS,Met,Battalion 2,Engine
EN035,S100000025,PCFR,31A01,EN035,2/9/26 0:00,A1,COM,MR035,35N,F28E,94045,2/9/26 0:00,94111,2/9/26 0:00,94128,94216,2/9/26 0:00,95014,48,S100000025,S100000025,AOS,EMS,Met,Battalion 3,Engine
EN036,S100000026,PCFR,26A08,EN036,2/9/26 0:00,A1,,MR036,36,F560F,103257,2/9/26 0:00,103410,2/9/26 0:00,103438,103449,2/9/26 0:00,104624,11,S100000026,S100000026,AOS,EMS,Met,Battalion 2,Engine
EN036,S100000027,PCFR,28C01J,EN036,2/9/26 0:00,C1,COM,MD216,16,F560G,83854,2/9/26 0:00,83930,2/9/26 0:00,83958,84058,2/9/26 0:00,85049,60,S100000027,S100000027,AOS,EMS,Met,Battalion 2,Engine
EN037,S100000028,PCFR,26A08,EN037,2/9/26 0:00,A1,,MR046,37,F37A,105707,2/9/26 0:00,105736,2/9/26 0:00,105802,105822,2/9/26 0:00,110949,20,S100000028,S100000028,AOS,EMS,Met,Battalion 5,Engine
EN046,S100000029,PCFR,18C02,EN046,2/9/26 0:00,C1,COM,MR037,46,F40B,102009,2/9/26 0:00,102208,2/9/26 0:00,102249,102350,2/9/26 0:00,102927,61,S100000029,S100000029,AOS,EMS,Missed,Battalion 5,Engine
EN046,S100000030,PCFR,17D04,EN046,2/9/26 0:00,D1,COM,MR046,46,F40B,92831,2/9/26 0:00,92910,2/9/26 0:00,92946,93039,2/9/26 0:00,93718,53,S100000030,S100000030,AOS,EMS,Met,Battalion 5,Engine
LD015,S100000031,PCFR,60B03O,LD015,2/9/26 0:00,B1,COM,EN002,2,F02A,90007,2/9/26 0:00,90029,2/9/26 0:00,90326,90326,2/9/26 0:00,91638,0,S100000031,S100000031,AOS,Fire,Met,Battalion 6,Special Operations
LD015,S100000032,PCFR,OOS,LD015,2/9/26 0:00,OS,,LD015,,,85907,2/9/26 0:00,85907,2/9/26 0:00,85907,85907,2/9/26 0:00,85907,0,S100000032,S100000032,AOS,Omit,,Battalion 6,Special Operations
LD015,S100000033,PCFR,OOS,LD015,2/9/26 0:00,OS,,LD015,,,93143,2/9/26 0:00,93143,2/9/26 0:00,93143,93143,2/9/26 0:00,93143,0,S100000033,S100000033,AOS,Omit,,Battalion 6,Special Operations
LD042,S100000034,PCFR,12A03,LD042,2/9/26 0:00,A1,COM,MR042,42N,F33B,85607,2/9/26 0:00,85635,2/9/26 0:00,85654,85750,2/9/26 0:00,90324,56,S100000034,S100000034,AOS,EMS,Met,Battalion 2,Ladder
LD042,S100000035,PCFR,53A02,LD042,2/9/26 0:00,A1,COM,LD042,42N,F33B,101029,2/9/26 0:00,101105,2/9/26 0:00,101218,101230,2/9/26 0:00,102213,12,S100000035,S100000035,AOS,Other,N/A,Battalion 2,Ladder
LD042,S100000036,PCFR,56A01,LD042,2/9/26 0:00,A1,COM,LD042,42N,F33B,81614,2/9/26 0:00,81635,2/9/26 0:00,81654,81729,2/9/26 0:00,82334,35,S100000036,S100000036,AOS,Fire,Met,Battalion 2,Ladder
LD042,S100000037,PCFR,53A02,LD042,2/9/26 0:00,A1,COM,LD042,42N,F33B,101029,2/9/26 0:00,101105,2/9/26 0:00,101218,101230,2/9/26 0:00,102213,12,S100000037,S100000037,AOS,Other,N/A,Battalion 2,Ladder
MD009,S100000038,PCFR,OOS,MD009,2/9/26 0:00,OS,,MD009,,,83056,2/9/26 0:00,83056,2/9/26 0:00,83056,83056,2/9/26 0:00,83056,0,S100000038,S100000038,AOS,Omit,,Battalion 6,Rescue
MD022,S100000039,PCFR,10C03,MD022,2/9/26 0:00,C1,COM,MD022,23,F23D,84446,2/9/26 0:00,84508,2/9/26 0:00,84543,84619,2/9/26 0:00,85252,36,S100000039,S100000039,AOS,EMS,Met,Battalion 1,Rescue
MD034,S100000040,PCFR,OOS,MD034,2/9/26 0:00,OS,,MD034,,,111108,2/9/26 0:00,111108,2/9/26 0:00,111108,111108,2/9/26 0:00,111108,0,S100000040,S100000040,AOS,Omit,,Battalion 3,Rescue
MD216,S100000041,PCFR,28C01J,MD216,2/9/26 0:00,C1,COM,MD216,16,F560G,83854,2/9/26 0:00,83930,2/9/26 0:00,83958,84043,2/9/26 0:00,85033,45,S100000041,S100000041,AOS,EMS,Met,Battalion 4,Rescue
MR002,S100000042,PCFR,26A08,MR002,2/9/26 0:00,A1,COM,MR002,2,F02D,91447,2/9/26 0:00,91514,2/9/26 0:00,91556,91602,2/9/26 0:00,91848,6,S100000042,S100000042,AOS,EMS,Met,Battalion 6,Rescue
MR002,S100000043,PCFR,26A02,MR002,2/9/26 0:00,A1,,MR002,2,F02A,101236,2/9/26 0:00,101441,2/9/26 0:00,101513,101527,2/9/26 0:00,103248,14,S100000043,S100000043,AOS,EMS,Met,Battalion 6,Rescue
MR006,S100000044,PCFR,26A08,MR006,2/9/26 0:00,A1,COM,MR006,6,F06A,81111,2/9/26 0:00,81239,2/9/26 0:00,81309,81332,2/9/26 0:00,82728,23,S100000044,S100000044,AOS,EMS,Met,Battalion 1,Rescue
MR006,S100000045,PCFR,01C05,MR006,2/9/26 0:00,C1,,MR006,6,F06A,103952,2/9/26 0:00,104027,2/9/26 0:00,104057,104110,2/9/26 0:00,104922,13,S100000045,S100000045,AOS,EMS,Met,Battalion 1,Rescue
MR007,S100000046,PCFR,OOS,MR007,2/9/26 0:00,OS,,MR007,,,95914,2/9/26 0:00,95914,2/9/26 0:00,95914,95914,2/9/26 0:00,95914,0,S100000046,S100000046,AOS,Omit,,Battalion 2,Rescue
MR011,S100000047,PCFR,OOS,MR011,2/9/26 0:00,OS,,MR011,,,85326,2/9/26 0:00,85326,2/9/26 0:00,85326,85326,2/9/26 0:00,85326,0,S100000047,S100000047,AOS,Omit,,Battalion 7,Rescue
MR012,S100000048,PCFR,26D01,MR012,2/9/26 0:00,D1,COM,MR012,12,F930E,90110,2/9/26 0:00,90149,2/9/26 0:00,90216,90219,2/9/26 0:00,91539,3,S100000048,S100000048,AOS,EMS,Met,Battalion 7,Rescue
MR014,S100000049,PCFR,OOS,MR014,2/9/26 0:00,OS,,MR014,,,82429,2/9/26 0:00,82429,2/9/26 0:00,82429,82429,2/9/26 0:00,82429,0,S100000049,S100000049,AOS,Omit,,Battalion 7,Rescue
MR015,S100000050,PCFR,29,MR015,2/9/26 0:00,PA,COM,MR015,15,F15B,92923,2/9/26 0:00,93035,2/9/26 0:00,93105,93127,2/9/26 0:00,93608,22,S100000050,S100000050,AOS,EMS,Met,Battalion 6,Rescue
MR017,S100000051,PCFR,26C02,MR017,2/9/26 0:00,C1,,MR017,17,F17A,101623,2/9/26 0:00,101715,2/9/26 0:00,101746,101750,2/9/26 0:00,102456,4,S100000051,S100000051,AOS,EMS,Met,Battalion 4,Rescue
MR017,S100000052,PCFR,26A08,MR017,2/9/26 0:00,A1,COM,MR017,17,F17C,80332,2/9/26 0:00,80408,2/9/26 0:00,80458,80501,2/9/26 0:00,81520,3,S100000052,S100000052,AOS,EMS,Met,Battalion 4,Rescue
MR018,S100000053,PCFR,31C01,MR018,2/9/26 0:00,C1,,MR018,18,F18C,105608,2/9/26 0:00,105705,2/9/26 0:00,105730,105752,2/9/26 0:00,110304,22,S100000053,S100000053,AOS,EMS,Met,Battalion 4,Rescue
MR025,S100000054,PCFR,OOS,MR025,2/9/26 0:00,OS,,MR025,,,84928,2/9/26 0:00,84928,2/9/26 0:00,84928,84928,2/9/26 0:00,84928,0,S100000054,S100000054,AOS,Omit,,Battalion 1,Rescue
MR028,S100000055,PCFR,26D01,MR028,2/9/26 0:00,D1,,MR028,28,F28F,100425,2/9/26 0:00,100444,2/9/26 0:00,100525,100531,2/9/26 0:00,101001,6,S100000055,S100000055,AOS,EMS,Met,Battalion 3,Rescue
MR033,S100000056,PCFR,06D02O,MR033,2/9/26 0:00,D1,COM,MR033,33N,F33A,91727,2/9/26 0:00,91748,2/9/26 0:00,91823,92016,2/9/26 0:00,92543,113,S100000056,S100000056,AOS,EMS,Missed,Battalion 2,Rescue
MR035,S100000057,PCFR,31A01,MR035,2/9/26 0:00,A1,COM,MR035,35N,F28E,94045,2/9/26 0:00,94111,2/9/26 0:00,94128,94140,2/9/26 0:00,94739,12,S100000057,S100000057,AOS,EMS,Met,Battalion 3,Rescue
MR036,S100000058,PCFR,26A08,MR036,2/9/26 0:00,A1,,MR036,36,F560F,103257,2/9/26 0:00,103410,2/9/26 0:00,103438,103455,2/9/26 0:00,104631,17,S100000058,S100000058,AOS,EMS,Met,Battalion 2,Rescue
MR036,S100000059,PCFR,OOS,MR036,2/9/26 0:00,OS,,MR036,,,84313,2/9/26 0:00,84313,2/9/26 0:00,84313,84313,2/9/26 0:00,84313,0,S100000059,S100000059,AOS,Omit,,Battalion 2,Rescue
MR037,S100000060,PCFR,18C02,MR037,2/9/26 0:00,C1,COM,MR037,46,F40B,102009,2/9/26 0:00,102208,2/9/26 0:00,102249,102256,2/9/26 0:00,103556,7,S100000060,S100000060,AOS,EMS,Met,Battalion 5,Rescue
MR042,S100000061,PCFR,12A03,MR042,2/9/26 0:00,A1,COM,MR042,42N,F33B,85607,2/9/26 0:00,85635,2/9/26 0:00,85654,85717,2/9/26 0:00,90344,23,S100000061,S100000061,AOS,EMS,Met,Battalion 2,Rescue
MR046,S100000062,PCFR,17D04,MR046,2/9/26 0:00,D1,COM,MR046,46,F40B,92831,2/9/26 0:00,92910,2/9/26 0:00,92946,93024,2/9/26 0:00,93713,38,S100000062,S100000062,AOS,EMS,Met,Battalion 5,Rescue
MR046,S100000063,PCFR,26A08,MR046,2/9/26 0:00,A1,,MR046,37,F37A,105707,2/9/26 0:00,105736,2/9/26 0:00,105802,105806,2/9/26 0:00,110904,4,S100000063,S100000063,AOS,EMS,Met,Battalion 5,Rescue
MR218,S100000064,PCFR,OOS,MR218,2/9/26 0:00,OS,,MR218,,,102113,2/9/26 0:00,102113,2/9/26 0:00,102113,102113,2/9/26 0:00,102113,0,S100000064,S100000064,AOS,Omit,,Battalion 4,Rescue
SQ007,S100000065,PCFR,OOS,SQ007,2/9/26 0:00,OS,,BR007,,,105742,2/9/26 0:00,105742,2/9/26 0:00,105742,105742,2/9/26 0:00,105742,0,S100000065,S100000065,AOS,Omit,,Battalion 2,Special Operations
SQ021,S100000066,PCFR,82,SQ021,2/9/26 0:00,PA,COM,SQ021,21,F930H,104949,2/9/26 0:00,105049,2/9/26 0:00,105130,105144,2/9/26 0:00,105144,14,S100000066,S100000066,AOS,Fire,Met,Battalion 7,Special Operations
TE007,S100000067,PCFR,OOS,TE007,2/9/26 0:00,OS,,TE007,,,102845,2/9/26 0:00,102845,2/9/26 0:00,102845,102845,2/9/26 0:00,102845,0,S100000067,S100000067,AOS,Omit,,Battalion 2,Tender
TE015,S100000068,PCFR,71,TE015,2/9/26 0:00,PA,COM,EN004,4,F15G,91326,2/9/26 0:00,91410,2/9/26 0:00,91639,91642,2/9/26 0:00,93528,3,S100000068,S100000068,AOS,Fire,Met,Battalion 6,Tender
TW033,S100000069,PCFR,OOS,TW033,2/9/26 0:00,OS,,TW033,,,102020,2/9/26 0:00,102020,2/9/26 0:00,102020,102020,2/9/26 0:00,102020,0,S100000069,S100000069,AOS,Omit,,Battalion 2,Special Operations
TW033,S100000070,PCFR,29D02P,TW033,2/9/26 0:00,D1,COM,MR020,33N,F33A,93314,2/9/26 0:00,93412,2/9/26 0:00,93554,93610,2/9/26 0:00,94110,16,S100000070,S100000070,AOS,EMS,Met,Battalion 2,Special Operations
BC003,S100000071,PCFR,29,BC003,2/9/26 0:00,PA,COM,MR015,15,F15B,92923,2/9/26 0:00,93035,2/9/26 0:00,93105,93139,,,34,S100000071,S100000071,DNA,EMS,Met,Battalion 3,Battalion Chief
BC004,S100000072,PCFR,68C01,BC004,2/9/26 0:00,C1,UTL,EN005,16,F560G,105656,2/9/26 0:00,105722,2/9/26 0:00,105941,110001,,,20,S100000072,S100000072,DNA,Fire,Met,Battalion 4,Battalion Chief
